N,K,pattern_count,maximum_chain_length,graph_construction_seconds,graph_directed_edges,graph_memory_bytes,optimizer_runtime_seconds,peak_memory_bytes,evaluations_per_second,local_moves_per_second,average_candidate_neighborhood_size,archive_size,incremental_physical_evaluations,screened_move_options,full_physical_recomputations,incremental_H_eff8_evaluations,full_H_eff8_recomputations,exact_evaluations,local_moves,complete_architecture_copies,stop_reason,synthetic_performance_only
200,2,4,100,0.027561499999137595,2400,28800,0.4671179000142729,1786324,17.126297236212867,4.281574309053217,20.5,4,2,12,10,2,7,8,2,18,EXACT_EVALUATION_BUDGET_EXHAUSTED,True
500,2,4,250,0.06243229999381583,6000,72000,1.3600509999960195,5034160,5.88213236123014,1.470533090307535,21.0,4,2,23,10,2,7,8,2,17,EXACT_EVALUATION_BUDGET_EXHAUSTED,True
1000,2,4,500,0.14677170000504702,12000,144000,3.1952459000021918,11349602,2.503719666769469,0.6259299166923673,21.0,5,2,27,11,2,7,8,2,17,EXACT_EVALUATION_BUDGET_EXHAUSTED,True
2000,4,4,500,0.284095700000762,24000,288000,6.541672800012748,14487548,1.222928789710242,0.3057321974275605,21.0,5,2,10,11,2,7,8,2,18,EXACT_EVALUATION_BUDGET_EXHAUSTED,True
5000,10,4,500,0.7877048000082141,60000,720000,19.897217199992156,29841254,0.4020662748760241,0.10051656871900602,21.0,5,2,7,11,2,7,8,2,17,EXACT_EVALUATION_BUDGET_EXHAUSTED,True
10000,20,4,500,1.5416010999906575,120000,1440000,51.83876610000152,55463146,0.15432466090275565,0.03858116522568891,21.0,5,2,3,11,2,7,8,2,17,EXACT_EVALUATION_BUDGET_EXHAUSTED,True
