label,source_group,architecture_sha256,evidence_status,qualification_status,K,FF_count,expected_scan_edges,reconstructed_scan_edges,reconstruction_status,chain_membership_bijection_valid,global_route_completion,detailed_route_completion,detailed_route_DRC_count,global_route_overflow,initial_global_route_utilization_percent,proxy_hpwl_um,H_eff8,routed_full_scan_path_upper_bound_um,exact_scan_only_routed_length_um,full_netlist_detailed_route_wirelength_um,detailed_route_vias,setup_WNS_ns,hold_WNS_ns,route_wall_seconds,proxy_rank,routed_rank,routed_minus_proxy_um,routed_minus_proxy_percent,routed_pareto_member,route_failure_reason,source_artifact
P,phase0c,bf4923662baa3ce72543bd3ad5092fb514808ffe46ce23173d3c9695ff0c9486,MEASURED_EXISTING,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,23.55,1380.83,63.33333333333333,5172.87,NOT_AVAILABLE,26691,13409,9.08788,0.0027291,78.41865995199987,5,5,3792.04,274.6203370436622,false,NOT_AVAILABLE,artifacts/raw/phase0c/physical/s5378/s11/k2/P/route_metrics.json
T,phase0c,37deaa7b3eee9623d40fe7ceb4163773bfda2f0953a72fb7b9babd69f088b04f,MEASURED_EXISTING,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,23.61,1421.17,62.33333333333333,5281.515,NOT_AVAILABLE,26781,13458,9.08786,0.00270743,77.89641511399986,6,6,3860.345,271.63147265985066,false,NOT_AVAILABLE,artifacts/raw/phase0c/physical/s5378/s11/k2/T/route_metrics.json
J50,phase0c,9c54b48f2ab8c0d7ebd94dd6c5de6ad6f04883f972277372ae90fecb4ce7f9ee,MEASURED_EXISTING,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,24.17,2634.75,61.66666666666667,5911.57,NOT_AVAILABLE,27404,13488,9.08673,0.00273859,78.99661978599988,8,8,3276.82,124.36929499952556,false,NOT_AVAILABLE,artifacts/raw/phase0c/physical/s5378/s11/k2/J50/route_metrics.json
A,phase0c,16904eaa0db2f733be62aebed6ba183f37c1d672a02d210e964bf96d1bc71f54,MEASURED_EXISTING,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,27.34,6850.21,60.5,9593.485,NOT_AVAILABLE,31158,13892,9.07944,0.00272724,86.4702731110001,9,9,2743.275,40.04658251352879,false,NOT_AVAILABLE,artifacts/raw/phase0c/physical/s5378/s11/k2/A/route_metrics.json
44b1a2ab5a1e,optimizer_v1,44b1a2ab5a1e9c7caec247107108fb3055f3c6ffceb2de291ff1d93111bd3d1b,MEASURED_NEW,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,23.25,1180.75,64.83333333333333,4891.025,NOT_AVAILABLE,26347,13337,9.0879,0.00273845,95.16109491,1,3,3710.275,314.23036205801395,false,NOT_AVAILABLE,artifacts/raw/phase0d/optimizer_v1/s5378/s11/k2/44b1a2ab5a1e9c7caec247107108fb3055f3c6ffceb2de291ff1d93111bd3d1b/route_result.json
0348f2cc6b9d,optimizer_v1,0348f2cc6b9dde7d6525795e96eb629b8da746f46f6936d6555a373279e1dbd1,MEASURED_NEW,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,23.25,1305.77,62.83333333333333,4892.57,NOT_AVAILABLE,26423,13395,9.08716,0.00272916,85.14331029699997,2,4,3586.8,274.68849797437525,false,NOT_AVAILABLE,artifacts/raw/phase0d/optimizer_v1/s5378/s11/k2/0348f2cc6b9dde7d6525795e96eb629b8da746f46f6936d6555a373279e1dbd1/route_result.json
a78c6ce1a5a1,optimizer_v1,a78c6ce1a5a13b64713b1b86f3a984a1e11ed754a6e7c4373fb88b603eec28e7,MEASURED_NEW,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,23.24,1306.55,62.666666666666664,4864.58,NOT_AVAILABLE,26395,13361,9.08775,0.00272829,78.97094958299999,3,1,3558.03,272.32252879721403,true,NOT_AVAILABLE,artifacts/raw/phase0d/optimizer_v1/s5378/s11/k2/a78c6ce1a5a13b64713b1b86f3a984a1e11ed754a6e7c4373fb88b603eec28e7/route_result.json
75ea663523d9,optimizer_v1,75ea663523d98d753f28f01c7c64348c52391e96e1edb60f4449696445be620c,MEASURED_NEW,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,23.24,1319.11,60.83333333333333,4872.25,NOT_AVAILABLE,26355,13395,9.08775,0.00272889,84.89736077799995,4,2,3553.14,269.3588859155037,true,NOT_AVAILABLE,artifacts/raw/phase0d/optimizer_v1/s5378/s11/k2/75ea663523d98d753f28f01c7c64348c52391e96e1edb60f4449696445be620c/route_result.json
1f1a3a458946,optimizer_v1,1f1a3a458946abcf31aa53a2375266a8629ed0ac0079ec7c20ecf47cc1e2e685,MEASURED_EXISTING,QUALIFIED,2,179,177,177,PASS,true,PASS,PASS,0,0,23.81,2157.81,59.0,5494.14,NOT_AVAILABLE,26982,13469,9.08672,0.00273018,78.069736662,7,7,3336.33,154.61648615957847,true,NOT_AVAILABLE,artifacts/raw/phase0d/optimizer_v1/s5378/s11/k2/1f1a3a458946abcf31aa53a2375266a8629ed0ac0079ec7c20ecf47cc1e2e685/route_result.json
